FECHA;ENERGIA-CONSUMIDA.FEM+ALCO-EXP;LINEAS DE PRODUCCION.LINEA 2.kWh dia;LINEAS DE PRODUCCION.SOLISTICA 3.kWh dia;LINEAS DE PRODUCCION.LINEA 2 - SOL 3.kWh dia;LINEAS DE PRODUCCION.LINEA 3.kWh dia;LINEAS DE PRODUCCION.LINEA 4.kWh dia;LINEAS DE PRODUCCION.LINEA 5.kWh dia;LINEAS DE PRODUCCION.LINEA 6.kWh dia;LINEAS DE PRODUCCION.LINEA 7 B&B AUX FABRICACION.kWh dia;LINEAS DE PRODUCCION.SEPPELEC 1.kWh dia;LINEAS DE PRODUCCION.SEPPELEC 2.kWh dia;LINEAS DE PRODUCCION.ANEKO.kWh dia;LINEAS DE PRODUCCION.PTAR.kWh dia;LINEAS DE PRODUCCION.PTAP.kWh dia;LINEAS DE PRODUCCION.TDF21.7.1 CUARTOS FRIOS.kWh dia;LINEAS DE PRODUCCION.FABRICACION HOTFILL.kWh dia;LINEAS DE PRODUCCION.TORRE DE ENFRIAMIENTO (PTAP).kWh dia;CONSUMO ENERGIAA ELECTRICA POR USUARIOS PIF.CONSUMO TOTAL ENTOCA.kWh dia;CONSUMO ENERGIAA ELECTRICA POR USUARIOS PIF.CONSUMO TOTAL ENERGIAA ELECTRICA FEMSA.INDICADOR.kWh dia;REFRIGERACION.GLICOL AGUA HELADA.Kwh/dia;REFRIGERACION.AGUA CLARIFICADO.Kwh/dia;REFRIGERACION.AGUA  PASTEURIZADO TORRE PASTER 1.Kwh/dia;REFRIGERACION.ENERGIAA ELECTRICA MAYEKAWA.kWh dia;REFRIGERACION.ENERGIAA ELECTRICA CLARIFICADO.kWh dia;REFRIGERACION.TOTAL CLARIFICADO.kTr;REFRIGERACION.TOTAL PASTEURIZADO.kTr;REFRIGERACION.TOTAL MAYEKAWA.kTr;REFRIGERACION.TOTAL REFRIGERACION.kTr;AIRE COMPRIMIDO.GENERACION TOTAL AIRE.KNm3/dia;AIRE COMPRIMIDO.CONSUMO AIRE FEMSA.KNm3/dia;AIRE COMPRIMIDO.ENERGIAA ELECTRICA AIRE TOTAL.kWh/dia;AIRE COMPRIMIDO.ENERGIAA ELECTRICA AIRE FEMSA.kWh/dia;MEDIDORES DE GAS.LINEA MEDIA m3/dia.;LITROS DE BEBIDA.LITROS DE BEBIDA LB.;LITROS DE BEBIDA.LITROS DE BEBIDA LB-ACUMULADO-.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 2.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 3.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 4.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 5.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 6.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 7 BIB.
1/11/2025;140.503,45;4.423,00;405;4.018,00;4.108,00;2.865,00;3.331,00;2.102,00;881;996;643;1.483,00;1.776,00;1.508,00;296;177;597;61.032,00;75.273,35;36.383,72;6.009,36;4.249,89;7.253,70;75,19;1,71;1,21;10,35;13,27;62,98;34,64;7.594,81;4.177,27;39.215,00;1.886.187,86;1.886.187,86;814.749,74;304.431,00;152.018,52;562.119,00;;0
2/11/2025;144.678,09;3.674,00;2;3.672,00;4.750,00;2.912,00;3.683,00;262;890;1.028,00;637;1.600,00;1.746,00;1.464,00;305;35;539;64.616,00;76.604,09;34.302,68;5.031,00;36,65;8.596,80;2,07;1,43;0,01;9,76;11,2;60,93;30,16;7.804,43;3.863,15;39.221,00;2.098.494,51;3.984.682,37;684.969,51;502.758,00;180.576,00;730.191,00;52.869,60;0
3/11/2025;103.081,24;467;2;465;623;2.844,00;3.693,00;140;867;347;689;1.392,00;1.614,00;1.071,00;316;11;166;42.511,00;62.105,54;14.145,62;3.695,48;0;3.631,50;0,76;1,05;0;4,02;5,07;32,74;16,88;4.185,24;2.157,81;31.622,00;898.954,80;4.883.637,17;0;0;81.826,80;377.064,00;0;0
4/11/2025;136.786,13;4.556,00;397;4.159,00;4.463,00;3.003,00;3.510,00;1.344,00;1.031,00;1.320,00;730;1.558,00;1.441,00;1.469,00;375;173;492;55.302,00;77.413,93;29.220,72;4.182,41;5.480,06;7.359,00;202,66;1,19;1,56;8,31;11,06;58,54;30,31;7.139,56;3.696,62;40.791,00;2.144.793,91;7.028.431,08;863.453,63;405.336,00;203.821,44;608.526,00;0;20.360,00
5/11/2025;152.059,90;4.835,00;413;4.422,00;4.373,00;3.062,00;2.957,00;3.791,00;1.062,00;1.164,00;648;1.574,00;1.400,00;1.552,00;499;325;574;69.444,00;78.838,90;25.148,42;4.219,32;10.912,75;6.234,40;270,05;1,2;3,1;7,15;11,46;62,08;28,34;7.896,93;3.605,01;40.751,00;2.281.743,72;9.310.174,80;1.016.722,52;372.096,00;247.435,20;489.040,00;28.188,00;0
6/11/2025;179.773,63;4.567,00;205;4.362,00;4.108,00;3.042,00;3.393,00;4.241,00;988;1.157,00;691;1.819,00;1.461,00;1.709,00;353;339;515;92.988,00;80.999,03;25.761,57;4.766,26;9.161,81;6.632,60;270,86;1,36;2,61;7,33;11,29;70,18;32,22;8.421,04;3.866,14;38.877,00;2.386.362,20;11.696.537,00;992.555,60;341.222,40;206.443,20;657.480,00;156.450,00;14.300,00
7/11/2025;166.924,87;3.121,00;427;2.694,00;2.470,00;2.557,00;2.910,00;2.735,00;940;1.120,00;737;1.614,00;1.472,00;1.407,00;361;242;542;92.795,00;69.392,97;22.339,05;4.108,58;5.812,66;5.634,20;193,06;1,17;1,65;6,35;9,18;57,54;25,99;7.018,11;3.169,98;39.001,00;1.299.636,53;12.996.173,53;499.499,00;188.189,92;135.919,80;412.704,00;188.661,00;0
8/11/2025;186.002,79;4.620,00;427;4.193,00;4.112,00;3.072,00;3.411,00;1.157,00;1.132,00;1.331,00;690;1.458,00;1.451,00;1.429,00;441;124;442;103.191,00;77.921,99;30.657,94;4.909,66;5.034,02;7.849,40;212,17;1,4;1,43;8,72;11,55;64,08;30;7.903,75;3.700,26;38.331,00;2.020.082,37;15.016.255,90;974.026,84;260.436,00;197.017,32;511.500,00;48.280,80;39.923,50
9/11/2025;192.498,97;5.112,00;420;4.692,00;4.349,00;3.259,00;3.580,00;142;955;1.228,00;747;1.184,00;1.530,00;1.487,00;366;23;509;107.122,00;80.971,47;29.540,78;5.299,26;0;7.347,60;0,85;1,51;0;8,4;9,91;64,18;28,96;7.698,18;3.473,66;39.487,00;2.518.425,42;17.534.681,32;1.161.801,42;379.008,00;263.808,00;713.808,00;41.868,00;0
10/11/2025;177.890,10;3.990,00;387;3.603,00;3.418,00;2.935,00;3.479,00;2.669,00;1.020,00;968;673;1.066,00;1.561,00;1.488,00;401;238;523;98.257,00;74.913,20;26.404,47;4.837,57;3.227,16;6.566,29;117,05;1,38;0,92;7,51;9,8;61,93;27,66;7.737,82;3.455,97;38.805,00;1.781.145,16;19.315.826,48;664.715,15;217.968,01;190.830,00;639.756,00;0;7.780,00
