AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2020,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,52,NARIÑO,52687,SAN LORENZO,S,52687001,SAN LORENZO,N,N,N,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76895,ZARZAL,N,0,EL ALISAL,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,86,PUTUMAYO,86755,SAN FRANCISCO,N,86755001,SAN ANTONIO,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19110,BUENOS AIRES,N,19110025,PALOBLANCO,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5051,ARBOLETES,N,5051003,EL CARMELO,S,S,S,N,S,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25513,PACHO,S,25513001,PACHO,S,S,S,N,S,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23672,SAN ANTERO,N,23672015,GRAU,S,S,S,N,S,N
2020,3,AVANTEL S.A.S,8,ATLÁNTICO,8758,SOLEDAD,S,8758001,SOLEDAD,S,N,N,N,S,N
2020,1,AVANTEL S.A.S,68,SANTANDER,68464,MOGOTES,S,68464001,MOGOTES,N,N,N,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13468,SANTA CRUZ DE MOMPOX,S,13468001,SANTA CRUZ DE MOMPOX,S,S,S,N,S,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15832,TUNUNGUÁ,S,15832001,TUNUNGUÁ,S,S,S,N,S,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,63,QUINDÍO,63190,CIRCASIA,N,63190028,MONTERREY,N,N,N,N,N,N
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,41,HUILA,41551,PITALITO,S,41551001,PITALITO,S,S,S,N,S,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76890,YOTOCO,N,76890009,SAN ANTONIO DE PIEDRAS,N,N,N,N,N,N
2020,3,AVANTEL S.A.S,52,NARIÑO,52227,CUMBAL,S,52227001,CUMBAL,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23807,TIERRALTA,N,23807044,VIRGILIO VARGAS,S,S,S,N,S,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23815,TUCHÍN,N,23815027,SABANAL,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,41,HUILA,41668,SAN AGUSTÍN,N,41668002,OBANDO,S,S,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52720,SAPUYES,S,52720001,SAPUYES,S,S,S,N,S,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,N,27250040,BARRIOS UNIDOS,N,N,N,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25269,FACATATIVÁ,N,25269022,SAN ISIDRO,S,S,N,N,S,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52835,TUMACO - SAN ANDRES DE TUMACO,N,52835211,PUEBLO NUEVO(RIO MIRA),N,N,N,N,N,N
2020,2,COLOMBIA MOVIL  S.A ESP,63,QUINDÍO,63470,MONTENEGRO,N,63470003,PUEBLO TAPADO,S,S,S,N,S,N
2020,4,AVANTEL S.A.S,5,ANTIOQUIA,5237,DONMATÍAS,S,5237001,DONMATÍAS,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20001,VALLEDUPAR,N,20001032,LA VEGA ARRIBA,S,S,S,N,S,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,50,META,50590,PUERTO RICO,N,50590003,LA LINDOSA,N,N,N,N,N,N
