Trimestre;LY_CO;LPC_CO;RS_CO;LS_CO;U_CO;;;;;;;
1994-Q1;;;;670,8706601;;;;;;;;
1994-Q2;;;;670,8865219;;;;;;;;
1994-Q3;;;;673,5780014;;;;;;;;
1994-Q4;;;;672,2954652;;;;;;;;
1995-Q1;;317,0400465;;678,0183237;;;;;;;;
1995-Q2;;321,6812674;45;678,1318659;;;;;;;;
1995-Q3;;326,5464685;45;688,0178511;;;;;;;;
1995-Q4;;331,4749123;41;689,5328384;;;;;;;;
1996-Q1;395,3689425;336,5226818;35;695,5039548;9,341077276;;;;;;;
1996-Q2;395,8057997;341,7662845;35;697,5161559;10,14089165;;;;;;;
1996-Q3;396,1631329;346,7231513;35;693,2506426;11,43927616;;;;;;;
1996-Q4;396,4348251;351,5222235;33;691,3071125;11,54423987;;;;;;;
1997-Q1;396,1619549;355,92862;28,5;696,5910973;11,23167654;;;;;;;
1997-Q2;399,5270343;360,113247;27,5;699,3024306;11,89636418;;;;;;;
1997-Q3;400,3057393;364,1626154;27;712,7910369;11,53029654;;;;;;;
1997-Q4;401,2000299;368,0258429;27;716,5168847;12,17558548;;;;;;;
1998-Q1;401,6415884;372,060723;30;721,3790399;13,40956743;;;;;;;
1998-Q2;401,7324459;376,0524086;32;721,7472778;13,98620275;;;;;;;
1998-Q3;399,3574737;379,8596005;32;734,9970101;14,23755237;;;;;;;
1998-Q4;396,7246401;383,4830481;26;734,0906888;15,72206905;;;;;;;
1999-Q1;395,5454355;388,0292734;20;733,5314505;18,28890795;;;;;;;
1999-Q2;394,6696682;389,3021442;18;745,7089824;17,5205808;;;;;;;
1999-Q3;396,1172301;391,5867436;16;760,9500391;19,02711359;;;;;;;
1999-Q4;396,0209901;393,6980816;12;753,5707723;18,10447163;;;;;;;
2000-Q1;397,9981969;396,2510116;12;757,6384332;16,9148516;;;;;;;
2000-Q2;398,0291798;397,6066883;12;766,8145134;16,4694824;;;;;;;
2000-Q3;398,5866363;399,5364239;12;770,1625238;17,39819811;;;;;;;
2000-Q4;398,4703466;401,3380198;12;770,9389084;18,36503565;;;;;;;
2001-Q1;399,1855533;403,0923399;11,5;774,4929208;15,7332337;;;;;;;
2001-Q2;399,4316175;404,6941888;11,5;774,2979112;14,5471948;;;;;;;
2001-Q3;400,2529944;406,1452611;9,5;775,3086922;14,25501768;;;;;;;
2001-Q4;400,8625765;407,4996428;8,5;773,6822248;14,51696495;;;;;;;
2002-Q1;399,9744273;408,6555878;7,25;772,3664192;14,74495422;;;;;;;
2002-Q2;403,3605776;409,8333273;5,25;778,2448716;15,82098587;;;;;;;
2002-Q3;402,9981396;411,1372315;5,25;794,7353315;14,49835591;;;;;;;
2002-Q4;403,2617396;412,5780632;5,25;796,0250328;16,50871244;;;;;;;
2003-Q1;404,0802109;414,2963749;6,25;799,2353156;12,90823452;;;;;;;
2003-Q2;405,7481758;415,8058626;7,25;794,3541357;13,69226713;;;;;;;
2003-Q3;406,9351026;417,3213646;7,25;796,8800686;14,18030837;;;;;;;
